SA22023_CODE,SA22023,Type,SA22018_CODE,SA22018
114201,Waimauku,Many To Many Map,114200,Waimauku
114300,Gulf Islands,Simple Map,114300,Gulf Islands
114400,Vipond,Simple Map,114400,Vipond
114500,Muriwai,Simple Map,114500,Muriwai
114600,Stanmore Bay West,Simple Map,114600,Stanmore Bay West
114701,Kumeu Rural West,Many To Many Map,114700,Kumeu Rural West
114801,Okura Bush,Many To Many Map,114800,Okura Bush
114901,Whangaparaoa Central,Many To One Map,114900,Whangaparoa Central
114902,Wade Heads-Arkles Bay,Many To One Map,114900,Whangaparoa Central
115001,Kumeu-Huapai North,Many To Many Map,115000,Kumeu-Huapai
115001,Kumeu-Huapai North,Many To Many Map,116100,Kumeu Rural East
115001,Kumeu-Huapai North,Many To Many Map,114700,Kumeu Rural West
115002,Kumeu-Huapai South,Many To Many Map,115000,Kumeu-Huapai
115100,Stanmore Bay East,Simple Map,115100,Stanmore Bay East
115200,Manly West,Simple Map,115200,Manly West
115300,Muriwai Valley-Bethells Beach,Simple Map,115300,Muriwai Valley-Bethells Beach
115400,Tindalls-Matakatia,Simple Map,115400,Tindalls-Matakatia
115501,Coatesville,Many To Many Map,115500,Coatesville
115601,Dairy Flat South,Many To Many Map,115600,Dairy Flat South
115700,Gulf Harbour North,Simple Map,115700,Gulf Harbour North
115800,Manly East,Simple Map,115800,Manly East
115901,Riverhead,Many To Many Map,115900,Riverhead
116000,Army Bay,Simple Map,116000,Army Bay
116101,Kumeu Rural East,Many To Many Map,116100,Kumeu Rural East
116101,Kumeu Rural East,Many To Many Map,115900,Riverhead
116200,Gulf Harbour South,Simple Map,116200,Gulf Harbour South
116300,Paremoremo West,Simple Map,116300,Paremoremo West
116401,Taupaki,Many To Many Map,116400,Taupaki
116500,Long Bay,Simple Map,116500,Long Bay
116601,Paremoremo East,Many To Many Map,115500,Coatesville
116601,Paremoremo East,Many To Many Map,116600,Paremoremo East
116701,Albany Heights,Many To Many Map,115600,Dairy Flat South
116701,Albany Heights,Many To Many Map,116700,Albany Heights
116801,Awaruku,Many To Many Map,116800,Awaruku
116900,Fairview Heights,Simple Map,116900,Fairview Heights
117001,Whenuapai,Many To Many Map,117000,Whenuapai
117002,Whenuapai West,Many To Many Map,117000,Whenuapai
117003,Massey Red Hills,Many To Many Map,116400,Taupaki
117003,Massey Red Hills,Many To Many Map,117000,Whenuapai
117100,Waitakere Ranges North,Simple Map,117100,Waitakere Ranges North
117201,Torbay West,Many To Many Map,116800,Awaruku
117201,Torbay West,Many To Many Map,117200,Torbay
117202,Torbay East,Many To Many Map,117200,Torbay
117300,Albany Central,Simple Map,117300,Albany Central
117400,Albany West,Simple Map,117400,Albany West
117500,Glamorgan,Simple Map,117500,Glamorgan
117600,Oteha East,Simple Map,117600,Oteha East
117700,Northcross,Simple Map,117700,Northcross
117800,Oteha West,Simple Map,117800,Oteha West
117900,Waiake,Simple Map,117900,Waiake
118001,Waitakere,Many To Many Map,118000,Waitakere
118100,Albany South,Simple Map,118100,Albany South
118200,Browns Bay South West,Simple Map,118200,Browns Bay South West
118300,Browns Bay Central,Simple Map,118300,Browns Bay Central
118400,Schnapper Rock,Simple Map,118400,Schnapper Rock
118501,Pinehill North,Many To One Map,118500,Pinehill
118502,Pinehill South,Many To One Map,118500,Pinehill
118600,North Harbour,Simple Map,118600,North Harbour
118700,Browns Bay South East,Simple Map,118700,Browns Bay South East
118800,Westgate Central,Simple Map,118800,Westgate Central
118900,Greenhithe West,Simple Map,118900,Greenhithe West
119000,Rothesay Bay,Simple Map,119000,Rothesay Bay
119100,Greenhithe East,Simple Map,119100,Greenhithe East
119201,Hobsonville,Many To Many Map,117000,Whenuapai
119201,Hobsonville,Many To Many Map,119200,Hobsonville
119301,Inlet Waitemata Harbour,Many To Many Map,139200,Orakei West
119301,Inlet Waitemata Harbour,Many To Many Map,119300,Inlet Waitemata Harbour
119301,Inlet Waitemata Harbour,Many To Many Map,128100,Northcote Tuff Crater
119400,Greenhithe South,Simple Map,119400,Greenhithe South
119500,Murrays Bay West,Simple Map,119500,Murrays Bay West
119600,Westgate South,Simple Map,119600,Westgate South
119700,Windsor Park,Simple Map,119700,Windsor Park
119800,West Harbour West,Simple Map,119800,West Harbour West
119901,Unsworth Heights West,Many To Many Map,121900,Totara Vale South
119901,Unsworth Heights West,Many To Many Map,119900,Unsworth Heights West
120000,Murrays Bay East,Simple Map,120000,Murrays Bay East
120101,Birdwood West,Many To Many Map,118000,Waitakere
120101,Birdwood West,Many To Many Map,120100,Birdwood West
120201,Hobsonville Point Catalina Bay,Many To One Map,120200,Hobsonville Point
120202,Hobsonville Point Park,Many To One Map,120200,Hobsonville Point
120203,Hobsonville Scott Point,Many To One Map,120200,Hobsonville Point
120301,West Harbour Clearwater Cove,Many To Many Map,120300,West Harbour Clearwater Cove
120400,Unsworth Heights East,Simple Map,120400,Unsworth Heights East
120500,Mairangi Bay North,Simple Map,120500,Mairangi Bay North
120600,Massey Central,Simple Map,120600,Massey Central
120701,West Harbour Luckens Point,Many To Many Map,120300,West Harbour Clearwater Cove
120701,West Harbour Luckens Point,Many To Many Map,120700,West Harbour Luckens Point
120800,Mairangi Bay South,Simple Map,120800,Mairangi Bay South
120900,Massey Royal Road West,Simple Map,120900,Massey Royal Road West
121001,Bayview East (Auckland),Simple Map,121000,Bayview East
121100,Swanson Rural,Simple Map,121100,Swanson Rural
121200,Sunnynook South,Simple Map,121200,Sunnynook South
121300,Sunnynook North,Simple Map,121300,Sunnynook North
121401,Bayview West (Auckland),Simple Map,121400,Bayview West
121500,Totara Vale North,Simple Map,121500,Totara Vale North
121600,Royal Heights North,Simple Map,121600,Royal Heights North
121701,Massey West,Many To Many Map,121700,Massey West
121701,Massey West,Many To Many Map,122900,Massey South
121800,Beach Haven West,Simple Map,121800,Beach Haven West
121901,Totara Vale South,Many To Many Map,121900,Totara Vale South
122001,Swanson,Many To Many Map,120100,Birdwood West
122001,Swanson,Many To Many Map,122000,Swanson
122101,Bayview South (Auckland),Simple Map,122100,Bayview South
122200,Campbells Bay,Simple Map,122200,Campbells Bay
122300,Royal Heights South,Simple Map,122300,Royal Heights South
122400,Beach Haven East,Simple Map,122400,Beach Haven East
122501,Massey Keegan,Simple Map,122500,Massey East
122600,Forrest Hill North,Simple Map,122600,Forrest Hill North
122700,Glenfield North,Simple Map,122700,Glenfield North
122801,Birkdale North,Many To Many Map,122800,Birkdale North
122802,Birkdale Central,Many To Many Map,122800,Birkdale North
122802,Birkdale Central,Many To Many Map,124400,Birkdale South
122901,Massey South,Many To Many Map,122900,Massey South
123000,Ranui North,Simple Map,123000,Ranui North
123100,Glenfield West,Simple Map,123100,Glenfield West
123200,Te Atatu Peninsula North West,Simple Map,123200,Te Atatu Peninsula North West
123300,Glenfield South West,Simple Map,123300,Glenfield South West
123400,Forrest Hill West,Simple Map,123400,Forrest Hill West
123500,Wairau Valley,Simple Map,123500,Wairau Valley
123600,Forrest Hill East,Simple Map,123600,Forrest Hill East
123701,Castor Bay North,Many To One Map,123700,Castor Bay
123702,Castor Bay South,Many To One Map,123700,Castor Bay
123800,Ranui Domain,Simple Map,123800,Ranui Domain
123900,Beach Haven South,Simple Map,123900,Beach Haven South
124000,Glenfield Central,Simple Map,124000,Glenfield Central
124100,Piha,Simple Map,124100,Piha
124200,Ranui South West,Simple Map,124200,Ranui South West
124301,Henderson Larnoch,Many To Many Map,124300,Henderson Larnoch
124401,Birkdale South,Many To Many Map,124400,Birkdale South
124401,Birkdale South,Many To Many Map,125200,Birkenhead West
124500,Te Atatu Peninsula Central,Simple Map,124500,Te Atatu Peninsula Central
124600,Glenfield East,Simple Map,124600,Glenfield East
124700,Henderson Valley,Simple Map,124700,Henderson Valley
124800,Te Atatu Peninsula West,Simple Map,124800,Te Atatu Peninsula West
124900,Henderson Lincoln West,Simple Map,124900,Henderson Lincoln West
125000,Ranui South East,Simple Map,125000,Ranui South East
125100,Henderson Lincoln East,Simple Map,125100,Henderson Lincoln East
125201,Birkenhead West,Many To Many Map,125200,Birkenhead West
125202,Birkenhead North West,Many To Many Map,125200,Birkenhead West
125300,Te Atatu Peninsula East,Simple Map,125300,Te Atatu Peninsula East
125400,Milford West,Simple Map,125400,Milford West
125500,Westlake,Simple Map,125500,Westlake
125600,Hillcrest North (Auckland),Simple Map,125600,Hillcrest North (Auckland)
125701,Henderson Lincoln South,Many To Many Map,125700,Henderson Lincoln South
125701,Henderson Lincoln South,Many To Many Map,124300,Henderson Larnoch
125800,Hillcrest West (Auckland),Simple Map,125800,Hillcrest West (Auckland)
125900,Milford Central,Simple Map,125900,Milford Central
126000,Summerland South,Simple Map,126000,Summerland South
126100,Summerland North,Simple Map,126100,Summerland North
126200,Hillcrest East (Auckland),Simple Map,126200,Hillcrest East (Auckland)
126300,Chatswood,Simple Map,126300,Chatswood
126401,Te Atatu South-Edmonton,Many To Many Map,126400,Te Atatu South-Edmonton
126500,Birkenhead North,Simple Map,126500,Birkenhead North
126601,Takapuna West,Many To Many Map,126600,Takapuna West
126701,Henderson North,Many To Many Map,126700,Henderson North
126702,Henderson West,Many To Many Map,126700,Henderson North
126702,Henderson West,Many To Many Map,126900,Western Heights (Auckland)
126801,Takapuna Central,Many To Many Map,126600,Takapuna West
126801,Takapuna Central,Many To Many Map,126800,Takapuna Central
126901,Western Heights (Auckland),Many To Many Map,126900,Western Heights (Auckland)
127001,Te Atatu South-North,Many To Many Map,127000,Te Atatu South-Central
127001,Te Atatu South-North,Many To Many Map,119300,Inlet Waitemata Harbour
127002,Te Atatu South-Central,Many To Many Map,126400,Te Atatu South-Edmonton
127002,Te Atatu South-Central,Many To Many Map,127000,Te Atatu South-Central
127002,Te Atatu South-Central,Many To Many Map,127700,Te Atatu South-McLeod North
127002,Te Atatu South-Central,Many To Many Map,128500,Te Atatu South-McLeod South
127100,Northcote Central (Auckland),Simple Map,127100,Northcote Central (Auckland)
127200,Akoranga,Simple Map,127200,Akoranga
127300,Northcote South (Auckland),Simple Map,127300,Northcote South (Auckland)
127400,Birkenhead South,Simple Map,127400,Birkenhead South
127500,Henderson Central,Simple Map,127500,Henderson Central
127601,Waiatarua,Many To Many Map,127600,Waiatarua
127601,Waiatarua,Many To Many Map,128300,McLaren Park
127701,Te Atatu South-McLeod North,Many To Many Map,127700,Te Atatu South-McLeod North
127801,Henderson Valley Park,Many To Many Map,127800,Henderson Valley Park
127801,Henderson Valley Park,Many To Many Map,128300,McLaren Park
127900,Henderson North East,Simple Map,127900,Henderson North East
128000,Waitakere Ranges South,Simple Map,128000,Waitakere Ranges South
128101,Northcote Tuff Crater,Many To Many Map,128100,Northcote Tuff Crater
128200,Northcote Point (Auckland),Simple Map,128200,Northcote Point (Auckland)
128301,McLaren Memorial Park,Many To Many Map,128300,McLaren Park
128401,Henderson East,Many To Many Map,128400,Henderson East
128401,Henderson East,Many To Many Map,129100,Sunnyvale East
128501,Te Atatu South-McLeod South,Many To Many Map,128500,Te Atatu South-McLeod South
128601,Takapuna South,Many To Many Map,126600,Takapuna West
128601,Takapuna South,Many To Many Map,128600,Takapuna South
128700,Rosebank Peninsula,Simple Map,128700,Rosebank Peninsula
128800,Hauraki,Simple Map,128800,Hauraki
128901,Glendene North West,Many To One Map,128900,Glendene North
128902,Glendene North East,Many To One Map,128900,Glendene North
129000,Sunnyvale West-Parrs Park,Simple Map,129000,Sunnyvale West-Parrs Park
129101,Sunnyvale East,Many To Many Map,129100,Sunnyvale East
129201,Point Chevalier West,Many To Many Map,129200,Point Chevalier West
129300,Belmont (Auckland),Simple Map,129300,Belmont (Auckland)
129400,Bayswater,Simple Map,129400,Bayswater
129501,Glendene South,Many To Many Map,119300,Inlet Waitemata Harbour
129501,Glendene South,Many To Many Map,129500,Glendene South
129600,Glen Eden West,Simple Map,129600,Glen Eden West
129700,Herne Bay,Simple Map,129700,Herne Bay
129800,Westmere North,Simple Map,129800,Westmere North
129901,Point Chevalier North,Many To Many Map,129200,Point Chevalier West
129901,Point Chevalier North,Many To Many Map,129900,Point Chevalier East
129902,Point Chevalier East,Many To Many Map,129900,Point Chevalier East
130000,Oratia,Simple Map,130000,Oratia
130100,Glen Eden Rosier,Simple Map,130100,Glen Eden Rosier
130200,Saint Marys Bay,Simple Map,130200,Saint Marys Bay
130300,Westmere South-Western Springs,Simple Map,130300,Westmere South-Western Springs
130400,Ponsonby West,Simple Map,130400,Ponsonby West
130500,Kelston North,Simple Map,130500,Kelston North
130601,Avondale Rosebank (Auckland),Many To Many Map,130600,Avondale Rosebank
130700,Narrow Neck,Simple Map,130700,Narrow Neck
130801,Glen Eden North,Many To Many Map,129100,Sunnyvale East
130801,Glen Eden North,Many To Many Map,130800,Glen Eden North
130901,Glen Eden Woodglen,Many To Many Map,130900,Glen Eden Woodglen
130902,Glen Eden Konini,Many To Many Map,130900,Glen Eden Woodglen
130902,Glen Eden Konini,Many To Many Map,132500,Konini
131000,Kelston South,Simple Map,131000,Kelston South
131100,Waterview,Simple Map,131100,Waterview
131200,Ponsonby East,Simple Map,131200,Ponsonby East
131300,Wynyard-Viaduct,Simple Map,131300,Wynyard-Viaduct
131400,Stanley Point,Simple Map,131400,Stanley Point
131500,Glen Eden Central,Simple Map,131500,Glen Eden Central
131600,Grey Lynn North,Simple Map,131600,Grey Lynn North
131700,Avondale West (Auckland),Simple Map,131700,Avondale West (Auckland)
131801,Freemans Bay,Many To One Map,131800,Freemans Bay
131802,College Hill,Many To One Map,131800,Freemans Bay
131900,Mount Albert West,Simple Map,131900,Mount Albert West
132001,Avondale North West (Auckland),Many To Many Map,132000,Avondale North (Auckland)
132001,Avondale North West (Auckland),Many To Many Map,130600,Avondale Rosebank
132002,Avondale North East (Auckland),Many To Many Map,132000,Avondale North (Auckland)
132100,Grey Lynn West,Simple Map,132100,Grey Lynn West
132200,Mount Albert North,Simple Map,132200,Mount Albert North
132300,New Lynn North,Simple Map,132300,New Lynn North
132400,Victoria Park,Simple Map,132400,Victoria Park
132501,Konini Road,Many To Many Map,132500,Konini
132600,New Lynn North West,Simple Map,132600,New Lynn North West
132700,Hobson Ridge North,Simple Map,132700,Hobson Ridge North
132800,Grey Lynn Central,Simple Map,132800,Grey Lynn Central
132900,Fruitvale,Simple Map,132900,Fruitvale
133000,Devonport,Simple Map,133000,Devonport
133100,Avondale Central (Auckland),Simple Map,133100,Avondale Central (Auckland)
133200,Queen Street,Simple Map,133200,Queen Street
133301,Quay Street-Customs Street,Simple Map,133300,Quay Street-Customs Street
133400,Hobson Ridge Central,Simple Map,133400,Hobson Ridge Central
133500,Grey Lynn East,Simple Map,133500,Grey Lynn East
133600,Morningside (Auckland),Simple Map,133600,Morningside (Auckland)
133700,Shortland Street,Simple Map,133700,Shortland Street
133800,Hobson Ridge South,Simple Map,133800,Hobson Ridge South
133900,New Lynn Central,Simple Map,133900,New Lynn Central
134000,Cheltenham,Simple Map,134000,Cheltenham
134100,Queen Street South West,Simple Map,134100,Queen Street South West
134200,Mount Albert Central,Simple Map,134200,Mount Albert Central
134301,Karangahape West,Many To One Map,134300,Karangahape
134302,Karangahape East,Many To One Map,134300,Karangahape
134400,Kingsland,Simple Map,134400,Kingsland
134500,Anzac Avenue,Simple Map,134500,Anzac Avenue
134600,Waima-Woodlands Park,Simple Map,134600,Waima-Woodlands Park
134700,Kaurilands,Simple Map,134700,Kaurilands
134800,Auckland-University,Simple Map,134800,Auckland-University
134900,New Lynn Seabrook,Simple Map,134900,New Lynn Seabrook
135000,Avondale South (Auckland),Simple Map,135000,Avondale South (Auckland)
135100,Symonds Street North West,Simple Map,135100,Symonds Street North West
135200,Mount Albert South,Simple Map,135200,Mount Albert South
135300,Symonds Street West,Simple Map,135300,Symonds Street West
135401,Titirangi East,Simple Map,135400,West Lynn
135500,Owairaka West,Simple Map,135500,Owairaka West
135600,New Lynn Central South,Simple Map,135600,New Lynn Central South
135700,The Strand,Simple Map,135700,The Strand
135800,St Lukes,Simple Map,135800,St Lukes
135900,Symonds Street East,Simple Map,135900,Symonds Street East
136001,Eden Terrace,Many To One Map,136000,Eden Terrace
136002,Grafton West,Many To One Map,136000,Eden Terrace
136100,Grafton,Simple Map,136100,Grafton
136200,Eden Park,Simple Map,136200,Eden Park
136300,Sandringham North,Simple Map,136300,Sandringham North
136400,Parnell West,Simple Map,136400,Parnell West
136501,New Lynn South,Many To One Map,136500,New Lynn South
136502,New Lynn South East,Many To One Map,136500,New Lynn South
136601,New Windsor North,Simple Map,136600,New Windsor North
136700,Titirangi South,Simple Map,136700,Titirangi South
136801,Owairaka East,Many To Many Map,136800,Owairaka East
136801,Owairaka East,Many To Many Map,137900,Wesley West
136900,Eden Valley,Simple Map,136900,Eden Valley
137000,Sandringham Central,Simple Map,137000,Sandringham Central
137100,Glenavon,Simple Map,137100,Glenavon
137201,Blockhouse Bay North,Many To Many Map,137200,Blockhouse Bay North
137202,Blockhouse Bay Central,Many To Many Map,137200,Blockhouse Bay North
137202,Blockhouse Bay Central,Many To Many Map,139500,Blockhouse Bay East
137202,Blockhouse Bay Central,Many To Many Map,138900,Blockhouse Bay South
137300,Green Bay North,Simple Map,137300,Green Bay North
137400,Parnell East,Simple Map,137400,Parnell East
137500,Laingholm,Simple Map,137500,Laingholm
137600,Sandringham West,Simple Map,137600,Sandringham West
137701,Mount Eden North East,Many To Many Map,137700,Mount Eden North East
137800,Mount Eden North,Simple Map,137800,Mount Eden North
137901,Wesley West,Many To Many Map,137900,Wesley West
138000,Green Bay South,Simple Map,138000,Green Bay South
