"SA32023_V1_00_usual_residence_address","SA32023_V1_00_NAME_usual_residence_address","SA32023_V1_00_NAME_ASCII_usual_residence_address","SA32023_V1_00_workplace_address","SA32023_V1_00_NAME_workplace_address","SA32023_V1_00_NAME_ASCII_workplace_address","2018_Work_at_home","2018_Drive_a_private_car_truck_or_van","2018_Drive_a_company_car_truck_or_van","2018_Passenger_in_a_car_truck_van_or_company_bus","2018_Public_bus","2018_Train","2018_Bicycle","2018_Walk_or_jog","2018_Ferry","2018_Other","2018_Total_stated","2023_Work_at_home","2023_Drive_a_private_car_truck_or_van","2023_Drive_a_company_car_truck_or_van","2023_Passenger_in_a_car_truck_van_or_company_bus","2023_Public_bus","2023_Train","2023_Bicycle","2023_Walk_or_jog","2023_Ferry","2023_Other","2023_Total_stated"
"Total","Total","Total","54810","Marton","Marton",366,1131,177,69,0,0,21,123,0,15,1905,474,1266,237,81,3,0,12,111,0,15,2196
"54820","Manawatu District North","Manawatu District North","Total","Total","Total",999,1239,300,48,0,3,12,36,0,57,2688,1242,1836,474,81,3,3,12,66,3,63,3777
"Total","Total","Total","54820","Manawatu District North","Manawatu District North",999,411,102,30,0,0,9,33,0,45,1629,1242,555,123,33,0,0,12,51,3,51,2064
"54830","Manawatu District South","Manawatu District South","Total","Total","Total",942,1464,372,51,3,3,39,117,0,84,3075,1149,2211,495,99,0,6,27,126,0,81,4200
"Total","Total","Total","54830","Manawatu District South","Manawatu District South",942,1101,183,36,3,0,48,123,0,84,2517,1149,1698,315,66,3,3,39,132,0,78,3483
"54840","Feilding West","Feilding West","Total","Total","Total",279,1329,258,69,6,3,18,36,0,15,2007,342,1737,351,105,9,6,24,45,0,24,2640
"Total","Total","Total","54840","Feilding West","Feilding West",279,144,57,18,0,0,9,15,0,3,525,342,186,39,15,0,0,9,18,0,6,615
"54850","Kimbolton","Kimbolton","Total","Total","Total",294,1560,324,90,9,3,45,144,0,21,2487,393,2190,450,102,18,3,39,132,0,27,3357
"Total","Total","Total","54850","Kimbolton","Kimbolton",294,660,72,27,3,0,15,90,0,3,1167,393,762,96,21,0,0,18,72,0,6,1374
"54860","Feilding Centre","Feilding Centre","Total","Total","Total",114,441,99,24,3,0,12,63,0,3,762,153,609,132,33,9,0,12,57,0,15,1017
"Total","Total","Total","54860","Feilding Centre","Feilding Centre",114,1938,426,117,9,3,42,135,0,18,2802,153,2709,624,198,12,0,48,132,0,36,3915
"54870","Palmerston North City Other","Palmerston North City Other","Total","Total","Total",666,2301,486,87,3,6,57,69,0,39,3711,912,2718,603,114,9,3,42,51,0,27,4482
"Total","Total","Total","54870","Palmerston North City Other","Palmerston North City Other",666,1098,213,45,21,0,51,72,0,33,2193,912,1413,402,66,3,0,24,57,3,33,2913
"54880","Palmerston North Commercial","Palmerston North Commercial","Total","Total","Total",72,237,24,24,12,0,18,144,0,12,546,93,318,30,30,18,0,12,126,0,12,642
"Total","Total","Total","54880","Palmerston North Commercial","Palmerston North Commercial",72,11205,2382,636,213,3,429,1044,0,213,16194,93,13920,2955,834,279,6,375,963,3,255,19686
"54890","Cloverlea (Palmerston North City)","Cloverlea (Palmerston North City)","Total","Total","Total",81,504,84,39,15,0,15,9,0,9,762,102,600,93,33,9,0,9,18,0,9,870
"Total","Total","Total","54890","Cloverlea (Palmerston North City)","Cloverlea (Palmerston North City)",81,42,6,6,3,0,3,0,0,0,141,102,48,3,0,0,0,3,3,0,0,162
"54900","Takaro","Takaro","Total","Total","Total",237,1422,195,90,27,3,102,222,0,33,2328,369,1647,237,96,30,3,78,180,3,39,2679
"Total","Total","Total","54900","Takaro","Takaro",237,570,162,36,9,3,24,45,0,9,1095,369,606,171,57,3,3,12,78,3,12,1311
"54910","Highbury-Westbroook","Highbury-Westbroook","Total","Total","Total",249,1758,225,135,30,3,54,72,0,33,2559,348,2064,285,141,27,3,51,51,0,51,3027
"Total","Total","Total","54910","Highbury-Westbroook","Highbury-Westbroook",249,429,66,27,3,0,18,39,0,6,837,348,525,96,33,0,0,9,27,0,9,1050
"54920","Turitea-Fitzherbert-Aokautere","Turitea-Fitzherbert-Aokautere","Total","Total","Total",255,1050,201,54,21,6,66,66,0,15,1740,471,1608,276,84,51,6,81,84,0,27,2688
"Total","Total","Total","54920","Turitea-Fitzherbert-Aokautere","Turitea-Fitzherbert-Aokautere",255,1947,66,108,186,0,264,90,0,33,2946,471,2340,126,72,150,3,276,99,0,30,3564
"54930","Milson","Milson","Total","Total","Total",279,1539,198,87,30,3,54,66,0,30,2289,333,1776,261,105,27,3,39,66,0,51,2658
"Total","Total","Total","54930","Milson","Milson",279,936,246,54,3,0,24,27,0,24,1596,333,1491,324,84,3,0,27,33,0,24,2319
"54940","Kelvin Grove","Kelvin Grove","Total","Total","Total",315,2175,378,96,36,3,60,60,0,39,3162,456,2415,453,108,45,3,54,63,0,33,3636
"Total","Total","Total","54940","Kelvin Grove","Kelvin Grove",315,354,75,21,6,0,9,30,0,3,813,456,438,81,33,3,0,12,15,0,9,1050
"54950","Roslyn (Palmerston North City)","Roslyn (Palmerston North City)","Total","Total","Total",213,1236,156,78,45,3,75,162,0,30,2001,327,1512,195,99,39,6,63,171,0,33,2448
"Total","Total","Total","54950","Roslyn (Palmerston North City)","Roslyn (Palmerston North City)",213,684,75,36,6,0,33,48,0,9,1101,327,837,60,33,6,0,27,51,0,9,1350
"54960","Papaioea","Papaioea","Total","Total","Total",318,1518,216,69,45,6,90,417,0,33,2715,417,1725,246,105,30,9,105,447,0,48,3132
"Total","Total","Total","54960","Papaioea","Papaioea",318,2652,225,138,39,0,114,321,0,54,3864,417,3942,255,156,36,0,147,375,0,69,5400
"54970","Ruamahanga","Ruamahanga","Total","Total","Total",147,678,111,36,18,3,39,42,0,12,1086,156,810,141,48,18,3,45,45,0,21,1290
"Total","Total","Total","54970","Ruamahanga","Ruamahanga",147,150,24,9,0,0,3,12,0,0,345,156,183,30,6,0,0,6,9,0,3,390
"54980","Hokowhitu","Hokowhitu","Total","Total","Total",678,2694,462,141,102,3,237,348,0,48,4713,846,3117,525,162,78,9,225,279,3,57,5301
"Total","Total","Total","54980","Hokowhitu","Hokowhitu",678,1086,153,48,15,0,69,105,0,12,2160,846,957,171,36,12,0,48,69,0,12,2145
"54990","Awapuni","Awapuni","Total","Total","Total",336,2055,306,135,69,3,120,93,0,33,3150,519,2550,333,174,66,6,117,78,0,36,3879
"Total","Total","Total","54990","Awapuni","Awapuni",336,531,57,15,9,0,15,63,0,9,1032,519,621,87,36,3,0,18,54,0,9,1356
"55000","Linton Camp","Linton Camp","Total","Total","Total",180,426,15,6,0,0,72,201,0,6,909,108,330,12,6,3,0,24,132,0,3,615
"Total","Total","Total","55000","Linton Camp","Linton Camp",180,1200,21,15,3,0,87,195,0,18,1725,108,1383,72,18,3,0,51,147,0,12,1797
"55010","West End","West End","Total","Total","Total",204,1125,96,66,63,0,102,195,0,33,1878,288,1332,156,78,45,9,105,210,0,30,2256
"Total","Total","Total","55010","West End","West End",204,648,51,30,9,0,27,78,0,6,1053,288,816,84,42,18,0,18,63,0,12,1341
"55020","Tararua District Other","Tararua District Other","Total","Total","Total",1248,906,177,36,0,3,3,39,0,84,2499,1281,1131,282,51,0,3,6,51,0,84,2892
"Total","Total","Total","55020","Tararua District Other","Tararua District Other",1248,570,171,63,0,3,3,33,0,84,2175,1281,630,255,45,0,0,9,48,0,81,2352
"55030","Pahiatua-Woodville","Pahiatua-Woodville","Total","Total","Total",669,1053,204,66,3,3,24,141,0,51,2217,768,1509,315,60,0,3,15,132,0,51,2856
"Total","Total","Total","55030","Pahiatua-Woodville","Pahiatua-Woodville",669,831,156,54,0,0,24,135,0,54,1923,768,1038,237,51,0,0,12,129,0,48,2280
"55040","Dannevirke","Dannevirke","Total","Total","Total",210,1002,153,84,3,3,12,141,0,15,1623,222,1278,243,102,0,0,15,120,0,3,1986
"Total","Total","Total","55040","Dannevirke","Dannevirke",210,1221,186,57,3,0,15,144,0,12,1848,222,1587,285,96,0,0,15,120,0,6,2331
"55050","Foxton","Foxton","Total","Total","Total",321,981,162,60,6,3,18,84,3,45,1677,504,1479,300,66,9,6,18,75,0,66,2523
"Total","Total","Total","55050","Foxton","Foxton",321,621,120,60,0,0,21,78,0,42,1263,504,876,165,57,0,3,18,72,0,60,1758
"55060","Shannon","Shannon","Total","Total","Total",252,555,84,24,0,6,6,33,0,36,993,321,918,135,36,0,9,9,24,0,36,1485
"Total","Total","Total","55060","Shannon","Shannon",252,201,45,9,0,0,3,27,0,30,573,321,231,54,18,0,0,9,21,0,33,684
"55070","Horowhenua District South","Horowhenua District South","Total","Total","Total",663,1158,294,57,3,57,9,60,0,21,2319,933,1617,438,111,3,42,15,69,0,24,3255
"Total","Total","Total","55070","Horowhenua District South","Horowhenua District South",663,570,180,87,0,0,15,66,0,18,1596,933,768,234,90,3,0,9,69,0,21,2130
"55080","Kawiu","Kawiu","Total","Total","Total",165,768,171,36,3,24,12,84,0,12,1275,261,1041,249,78,3,24,21,75,0,18,1770
"Total","Total","Total","55080","Kawiu","Kawiu",165,144,27,9,0,0,6,21,0,0,375,261,174,18,6,3,0,3,18,0,0,486
"55090","Levin West","Levin West","Total","Total","Total",123,501,66,42,3,12,15,78,0,9,855,186,771,111,48,3,9,27,93,0,6,1248
"Total","Total","Total","55090","Levin West","Levin West",123,1635,234,90,3,0,33,165,3,21,2304,186,2166,282,165,6,6,39,198,0,27,3072
"55100","Levin South","Levin South","Total","Total","Total",168,927,159,96,3,15,27,99,0,21,1515,330,1374,228,117,3,12,15,96,0,24,2202
"Total","Total","Total","55100","Levin South","Levin South",168,1170,234,60,3,3,30,72,0,21,1755,330,1800,357,99,3,3,27,78,0,30,2730
"55110","Levin East","Levin East","Total","Total","Total",114,528,105,33,3,9,24,48,0,9,873,180,759,138,63,3,0,12,60,0,18,1233
"Total","Total","Total","55110","Levin East","Levin East",114,171,12,12,0,0,6,33,0,6,357,180,216,21,9,0,0,6,24,0,3,462
"55120","Kapiti Coast District Other","Kapiti Coast District Other","Total","Total","Total",339,441,117,36,3,132,12,18,0,15,1113,570,528,165,27,0,90,12,18,0,12,1419
"Total","Total","Total","55120","Kapiti Coast District Other","Kapiti Coast District Other",339,225,72,33,0,3,6,18,0,9,711,570,252,96,18,3,6,9,18,0,3,978
"55130","Kapiti Coast District Coast","Kapiti Coast District Coast","Total","Total","Total",225,366,108,21,3,105,3,9,0,12,852,366,468,135,21,0,66,3,12,0,6,1086
"Total","Total","Total","55130","Kapiti Coast District Coast","Kapiti Coast District Coast",225,159,48,12,0,3,0,6,0,6,459,366,189,72,15,0,0,3,12,6,6,669
"55140","Ōtaki","Otaki","Total","Total","Total",261,1086,198,60,6,93,36,105,0,12,1860,582,1464,291,99,12,123,51,114,6,18,2754
"Total","Total","Total","55140","Ōtaki","Otaki",261,969,171,57,6,6,33,96,0,12,1611,582,1191,243,87,9,3,48,99,0,12,2268
"55150","Waikanae-Waikanae Beach","Waikanae-Waikanae Beach","Total","Total","Total",714,1749,396,102,33,543,66,120,0,33,3753,1434,2331,489,138,45,477,54,156,3,27,5154
"Total","Total","Total","55150","Waikanae-Waikanae Beach","Waikanae-Waikanae Beach",714,1194,270,72,27,27,48,117,0,12,2478,1434,1353,285,99,33,42,48,144,0,15,3450
"55160","Paraparaumu Beach","Paraparaumu Beach","Total","Total","Total",498,1545,360,99,45,438,57,66,0,33,3144,1065,1887,444,114,57,288,66,102,3,33,4059
"Total","Total","Total","55160","Paraparaumu Beach","Paraparaumu Beach",498,651,135,69,12,12,24,63,0,12,1479,1065,702,144,63,24,12,30,75,3,15,2133
"55170","Paraparaumu","Paraparaumu","Total","Total","Total",468,1764,411,126,36,447,54,141,0,42,3483,1062,2115,486,159,42,387,69,150,0,39,4509
"Total","Total","Total","55170","Paraparaumu","Paraparaumu",468,2904,588,153,84,72,129,171,0,33,4602,1062,3987,762,276,117,138,168,216,0,60,6783
"55180","Raumati","Raumati","Total","Total","Total",534,1461,357,123,30,441,78,114,3,27,3168,1170,1755,444,138,45,348,99,126,0,48,4173
"Total","Total","Total","55180","Raumati","Raumati",534,642,105,36,15,21,48,72,0,12,1488,1170,735,111,42,15,21,36,84,3,6,2223
"55190","Paekākāriki","Paekakariki","Total","Total","Total",123,276,45,21,0,186,6,27,0,3,687,237,300,51,15,3,192,12,30,0,3,837
"Total","Total","Total","55190","Paekākāriki","Paekakariki",123,96,15,6,0,12,6,30,0,0,288,237,108,18,15,0,12,3,27,0,0,420
"55200","Porirua City Rural","Porirua City Rural","Total","Total","Total",165,261,93,15,3,48,0,12,0,3,597,243,309,99,15,0,54,0,9,0,6,735
"Total","Total","Total","55200","Porirua City Rural","Porirua City Rural",165,279,69,12,0,0,3,12,0,3,546,243,324,132,15,6,9,6,12,0,0,747
"55210","Pukerua Bay","Pukerua Bay","Total","Total","Total",129,390,63,24,0,186,3,15,0,12,828,273,390,93,18,3,216,6,6,0,15,1014
"Total","Total","Total","55210","Pukerua Bay","Pukerua Bay",129,42,12,6,0,3,0,15,0,0,204,273,66,21,3,0,3,0,6,3,0,378
"55220","Plimmerton","Plimmerton","Total","Total","Total",135,414,90,24,0,183,9,18,3,9,885,273,468,117,21,3,192,12,18,0,3,1101
"Total","Total","Total","55220","Plimmerton","Plimmerton",135,315,117,18,0,18,3,21,0,3,627,273,333,165,18,6,21,9,18,0,6,846
"55230","Camborne","Camborne","Total","Total","Total",126,417,99,24,0,189,6,9,0,9,873,267,459,117,27,0,186,6,18,0,9,1092
"Total","Total","Total","55230","Camborne","Camborne",126,30,18,6,0,0,0,0,0,0,180,267,33,15,3,0,0,0,3,0,3,321
"55240","Porirua Centre","Porirua Centre","Total","Total","Total",63,378,54,39,15,75,6,57,0,6,690,300,585,141,63,12,177,3,81,0,9,1365
"Total","Total","Total","55240","Porirua Centre","Porirua Centre",63,4794,909,426,225,261,63,144,3,57,6942,300,6441,1299,618,351,381,78,192,0,87,9747
"55260","Titahi Bay","Titahi Bay","Total","Total","Total",303,1497,258,129,69,330,21,54,3,33,2694,636,1896,375,168,78,423,24,48,0,39,3693
"Total","Total","Total","55260","Titahi Bay","Titahi Bay",303,336,60,27,9,6,3,33,0,0,777,636,372,87,33,9,9,3,27,0,3,1182
"55270","Paremata","Paremata","Total","Total","Total",141,525,102,42,9,189,15,18,0,9,1047,318,537,138,42,6,231,15,27,0,12,1323
"Total","Total","Total","55270","Paremata","Paremata",141,429,66,33,6,27,6,24,0,3,735,318,486,78,39,15,39,6,39,0,3,1026
"55280","Whitby","Whitby","Total","Total","Total",567,2307,510,180,54,729,21,33,0,60,4464,1545,2937,633,237,57,801,21,45,0,63,6339
"Total","Total","Total","55280","Whitby","Whitby",567,444,105,48,15,9,3,36,0,3,1227,1545,591,105,63,27,18,3,45,0,9,2400
"55290","Papakōwhai","Papakowhai","Total","Total","Total",105,492,120,33,6,174,15,15,0,6,969,258,561,114,33,12,168,9,30,0,6,1194
"Total","Total","Total","55290","Papakōwhai","Papakowhai",105,513,30,18,3,21,6,57,0,15,771,258,525,42,24,9,12,6,93,0,12,981
"55300","Ascot Park","Ascot Park","Total","Total","Total",72,492,60,75,18,90,0,12,0,3,825,204,651,117,75,33,96,0,9,0,12,1197
"Total","Total","Total","55300","Ascot Park","Ascot Park",72,57,9,3,3,0,0,3,0,0,144,204,72,9,12,0,3,0,3,0,3,306
"55310","Waitangirua","Waitangirua","Total","Total","Total",60,465,36,120,39,63,0,15,0,3,804,162,750,126,141,42,72,3,15,0,12,1323
"Total","Total","Total","55310","Waitangirua","Waitangirua",60,180,12,21,6,6,0,12,0,0,303,162,219,27,24,9,3,6,12,0,0,462
"55320","Aotea","Aotea","Total","Total","Total",132,627,126,60,12,264,3,9,0,6,1236,681,915,180,81,15,306,6,21,0,18,2217
"Total","Total","Total","55320","Aotea","Aotea",132,180,21,9,6,6,6,6,0,3,369,681,249,27,21,9,6,9,6,0,3,1011
"55330","Cannons Creek","Cannons Creek","Total","Total","Total",141,936,90,207,69,162,3,54,0,24,1686,309,1617,240,342,87,204,6,21,0,21,2850
"Total","Total","Total","55330","Cannons Creek","Cannons Creek",141,378,33,33,12,3,0,27,0,3,633,309,525,48,51,6,18,6,21,0,3,987
"55340","Rānui (Porirua City)","Ranui (Porirua City)","Total","Total","Total",108,600,75,84,18,135,6,36,0,12,1074,225,825,141,108,27,183,9,48,0,12,1578
"Total","Total","Total","55340","Rānui (Porirua City)","Ranui (Porirua City)",108,150,15,15,3,3,6,9,0,3,312,225,228,27,12,6,9,0,6,0,3,519
"55350","Upper Hutt City Rural","Upper Hutt City Rural","Total","Total","Total",267,600,165,33,3,138,6,9,0,18,1239,450,705,201,42,6,108,9,9,0,18,1545
"Total","Total","Total","55350","Upper Hutt City Rural","Upper Hutt City Rural",267,126,69,12,3,3,0,12,0,0,492,450,186,72,18,6,6,3,15,0,3,765
"55360","Birchville-Brown Owl","Birchville-Brown Owl","Total","Total","Total",171,801,189,57,48,114,12,6,0,9,1407,330,1011,252,63,54,135,3,9,0,15,1872
"Total","Total","Total","55360","Birchville-Brown Owl","Birchville-Brown Owl",171,57,18,12,6,0,0,6,0,0,270,330,84,24,6,3,3,0,12,0,0,459
"55370","Te Marua","Te Marua","Total","Total","Total",60,219,48,9,6,30,3,3,0,9,387,90,258,66,12,3,33,3,3,0,9,474
"Total","Total","Total","55370","Te Marua","Te Marua",60,27,9,0,0,0,0,0,0,0,99,90,42,9,3,0,0,0,3,0,0,141
"55380","Trentham","Trentham","Total","Total","Total",348,1524,252,123,96,483,54,135,0,42,3057,1002,2283,405,171,126,672,54,159,0,33,4905
"Total","Total","Total","55380","Trentham","Trentham",348,2124,264,75,27,87,87,156,0,33,3201,1002,3033,405,102,39,114,84,207,0,48,5034
"55390","Heretaunga","Heretaunga","Total","Total","Total",105,411,90,33,21,150,12,45,0,9,876,243,513,114,42,30,153,12,48,0,9,1164
"Total","Total","Total","55390","Heretaunga","Heretaunga",105,309,42,33,39,18,9,36,0,3,591,243,363,30,48,33,21,6,45,0,6,795
"55400","Silverstream (Upper Hutt City)","Silverstream (Upper Hutt City)","Total","Total","Total",180,708,141,48,15,282,15,39,0,12,1446,408,768,150,45,30,288,21,63,0,24,1794
"Total","Total","Total","55400","Silverstream (Upper Hutt City)","Silverstream (Upper Hutt City)",180,261,33,15,9,12,3,48,0,6,567,408,426,111,36,12,24,6,39,0,3,1062
"55410","Pinehaven","Pinehaven","Total","Total","Total",108,399,84,27,9,153,15,12,3,9,816,246,468,81,27,12,135,12,9,0,12,1002
"Total","Total","Total","55410","Pinehaven","Pinehaven",108,39,18,3,3,0,0,3,0,0,177,246,45,12,3,0,3,0,0,0,0,306
"55420","Maoribank","Maoribank","Total","Total","Total",132,630,144,51,39,135,3,12,0,15,1164,291,858,201,66,39,156,6,21,0,15,1656
"Total","Total","Total","55420","Maoribank","Maoribank",132,45,27,3,0,0,0,9,0,0,216,291,66,27,6,3,3,0,3,0,0,399
"55430","Riverstone Terraces","Riverstone Terraces","Total","Total","Total",87,447,99,36,6,108,6,6,0,12,807,216,528,114,36,6,93,3,6,0,3,1008
"Total","Total","Total","55430","Riverstone Terraces","Riverstone Terraces",87,9,3,0,0,0,0,3,0,0,99,216,24,12,3,0,3,0,0,0,0,255
"55440","Totara Park","Totara Park","Total","Total","Total",105,654,120,48,24,108,9,18,0,12,1104,294,762,165,54,27,105,6,12,0,15,1437
"Total","Total","Total","55440","Totara Park","Totara Park",105,66,15,6,0,0,0,12,0,0,201,294,81,12,9,0,3,0,9,0,0,411
"55450","Clouston Park","Clouston Park","Total","Total","Total",72,420,87,36,18,111,12,24,0,12,786,192,549,111,45,27,102,9,21,0,6,1065
"Total","Total","Total","55450","Clouston Park","Clouston Park",72,273,99,15,9,3,3,15,0,6,495,192,327,126,27,15,12,3,15,0,6,726
"55460","Elderslea","Elderslea","Total","Total","Total",111,594,105,51,9,123,9,63,0,9,1074,234,702,156,54,24,129,12,75,0,12,1395
"Total","Total","Total","55460","Elderslea","Elderslea",111,237,27,9,12,3,3,24,0,3,432,234,264,21,24,9,9,9,27,0,0,597
"55470","Ebdentown","Ebdentown","Total","Total","Total",72,417,75,30,15,102,12,51,0,9,783,192,525,120,30,18,126,9,90,0,12,1122
"Total","Total","Total","55470","Ebdentown","Ebdentown",72,93,21,3,3,0,3,9,0,0,204,192,114,21,3,6,0,3,9,0,0,348
"55480","Upper Hutt Central-Wallaceville","Upper Hutt Central-Wallaceville","Total","Total","Total",123,576,111,45,15,189,15,63,0,12,1146,303,675,144,54,30,189,9,96,0,12,1515
"Total","Total","Total","55480","Upper Hutt Central-Wallaceville","Upper Hutt Central-Wallaceville",123,1989,297,168,105,87,39,150,0,24,2979,303,2376,384,255,165,123,33,228,0,39,3909
"55490","Lower Hutt City Rural","Lower Hutt City Rural","Total","Total","Total",96,204,63,15,3,39,3,6,0,0,435,126,240,84,12,6,36,6,0,0,3,510
"Total","Total","Total","55490","Lower Hutt City Rural","Lower Hutt City Rural",96,45,12,0,0,0,0,3,0,0,165,126,66,24,0,0,3,0,3,0,0,219
"55500","Taita-Manor Park","Taita-Manor Park","Total","Total","Total",144,969,126,111,99,294,15,54,0,18,1830,378,1434,189,138,129,408,18,63,0,24,2775
"Total","Total","Total","55500","Taita-Manor Park","Taita-Manor Park",144,909,165,66,33,63,18,57,3,15,1473,378,1158,282,75,57,66,30,66,0,18,2127
"55510","Stokes Valley","Stokes Valley","Total","Total","Total",303,1950,459,156,168,375,15,69,0,33,3534,840,2541,546,186,174,426,30,54,3,27,4827
"Total","Total","Total","55510","Stokes Valley","Stokes Valley",303,375,135,36,24,9,3,51,0,3,942,840,486,129,51,30,9,3,51,0,0,1608
"55520","Kelson","Kelson","Total","Total","Total",156,744,159,42,33,186,15,12,0,12,1359,348,786,153,42,27,183,12,12,0,21,1581
"Total","Total","Total","55520","Kelson","Kelson",156,144,72,9,6,3,0,6,0,0,402,348,177,81,3,6,6,0,6,0,3,633
"55530","Belmont (Lower Hutt City)","Belmont (Lower Hutt City)","Total","Total","Total",162,645,153,51,15,174,27,9,0,24,1254,354,699,147,39,18,147,27,9,0,18,1458
"Total","Total","Total","55530","Belmont (Lower Hutt City)","Belmont (Lower Hutt City)",162,72,27,3,3,3,0,3,0,0,273,354,84,30,3,0,3,0,6,0,0,480
"55540","Tirohanga","Tirohanga","Total","Total","Total",99,294,60,21,3,84,6,15,0,9,585,183,306,60,27,0,75,12,18,0,12,699
"Total","Total","Total","55540","Tirohanga","Tirohanga",99,69,9,0,0,3,3,6,0,0,189,183,48,6,0,3,3,3,6,0,3,258
"55550","Normandale","Normandale","Total","Total","Total",90,510,105,30,27,156,15,15,0,18,966,252,546,96,51,18,150,18,15,0,9,1149
"Total","Total","Total","55550","Normandale","Normandale",90,42,15,3,0,3,0,3,0,0,156,252,39,18,3,3,0,0,6,0,0,321
"55560","Maungaraki","Maungaraki","Total","Total","Total",195,876,174,75,51,306,33,30,0,30,1770,528,963,180,78,54,285,36,24,0,18,2172
"Total","Total","Total","55560","Maungaraki","Maungaraki",195,78,21,6,9,3,0,12,0,0,327,528,93,18,3,3,0,0,9,0,0,657
"55570","Hutt Centre","Hutt Centre","Total","Total","Total",423,1473,327,123,150,705,84,279,0,21,3585,882,1629,321,141,162,765,75,336,0,33,4347
"Total","Total","Total","55570","Hutt Centre","Hutt Centre",423,5601,1158,465,684,168,120,456,0,84,9162,882,6576,1281,594,849,249,141,522,0,90,11187
"55580","Korokoro","Korokoro","Total","Total","Total",84,282,75,24,9,159,27,12,0,12,684,222,327,63,18,15,153,27,15,0,15,855
"Total","Total","Total","55580","Korokoro","Korokoro",84,36,6,3,0,3,0,3,0,0,129,222,39,24,3,0,3,0,3,0,0,294
"55590","Petone","Petone","Total","Total","Total",330,1155,240,96,429,426,78,270,0,33,3054,798,1452,294,117,426,498,90,294,0,42,4005
"Total","Total","Total","55590","Petone","Petone",330,4311,1248,303,375,243,102,303,0,78,7293,798,4824,1410,402,432,294,102,339,3,81,8679
"55600","Waiwhetu","Waiwhetu","Total","Total","Total",156,747,126,60,48,339,45,81,0,21,1623,456,927,135,81,66,375,57,69,0,21,2190
"Total","Total","Total","55600","Waiwhetu","Waiwhetu",156,363,84,39,21,15,9,24,0,3,711,456,465,105,42,24,18,6,42,0,6,1164
"55610","Moera-Gracefield","Moera-Gracefield","Total","Total","Total",60,234,39,42,66,72,18,27,0,6,561,114,360,45,39,48,87,15,45,0,6,762
"Total","Total","Total","55610","Moera-Gracefield","Moera-Gracefield",60,2916,924,177,117,54,63,81,0,39,4428,114,3381,1005,195,147,72,102,81,0,48,5136
"55620","Eastern Bays","Eastern Bays","Total","Total","Total",189,372,93,27,90,21,21,24,72,9,912,309,429,84,33,54,21,24,12,102,15,1080
"Total","Total","Total","55620","Eastern Bays","Eastern Bays",189,87,18,3,12,3,3,15,0,0,333,309,105,18,3,6,3,3,15,3,0,465
"55630","Avalon","Avalon","Total","Total","Total",177,804,135,75,87,276,24,57,0,18,1650,444,1017,171,96,105,297,36,39,0,12,2211
"Total","Total","Total","55630","Avalon","Avalon",177,540,81,30,39,18,12,42,0,6,948,444,744,117,45,36,27,15,33,0,6,1470
"55640","Naenae","Naenae","Total","Total","Total",234,1284,222,177,120,342,36,96,0,30,2541,576,1689,291,210,144,399,42,81,0,30,3462
"Total","Total","Total","55640","Naenae","Naenae",234,687,210,45,27,27,9,75,0,6,1317,576,828,234,66,30,30,12,66,0,6,1845
"55650","Boulcott","Boulcott","Total","Total","Total",141,456,105,39,42,183,24,69,3,9,1062,255,531,93,45,39,189,30,78,0,3,1263
"Total","Total","Total","55650","Boulcott","Boulcott",141,654,30,51,45,39,24,30,0,9,1023,255,1095,63,63,51,39,36,75,0,9,1686
"55660","Epuni","Epuni","Total","Total","Total",198,1044,192,72,69,471,45,126,0,21,2232,657,1230,195,120,84,561,42,183,0,12,3087
"Total","Total","Total","55660","Epuni","Epuni",198,1011,54,42,60,21,21,99,0,9,1512,657,1785,72,66,93,54,54,168,0,15,2961
"55670","Wainuiomata","Wainuiomata","Total","Total","Total",414,3558,777,363,462,486,18,87,3,69,6234,1530,4593,969,393,381,645,39,108,0,57,8712
"Total","Total","Total","55670","Wainuiomata","Wainuiomata",414,699,192,108,57,24,6,78,0,9,1584,1530,954,255,87,63,18,15,93,0,12,3024
"55680","Waterloo","Waterloo","Total","Total","Total",183,918,207,69,48,585,48,96,0,21,2175,597,1092,198,102,66,582,54,105,0,21,2817
"Total","Total","Total","55680","Waterloo","Waterloo",183,534,66,21,24,24,9,51,0,0,909,597,411,51,15,12,12,12,30,0,3,1143
"55690","Eastbourne","Eastbourne","Total","Total","Total",198,456,99,33,105,18,30,45,147,6,1140,405,549,129,27,81,12,33,69,132,6,1449
"Total","Total","Total","55690","Eastbourne","Eastbourne",198,174,48,15,15,3,3,45,3,3,501,405,195,33,18,18,3,12,57,3,3,747
"55700","Wellington City Rural","Wellington City Rural","Total","Total","Total",123,225,48,21,21,6,6,9,0,9,468,183,228,48,18,18,3,9,6,0,18,534
"Total","Total","Total","55700","Wellington City Rural","Wellington City Rural",123,51,24,9,3,0,0,6,0,3,213,183,90,57,15,0,0,0,0,0,0,348
"55710","Woodridge-Horokiwi","Woodridge-Horokiwi","Total","Total","Total",87,450,81,54,192,18,18,3,0,18,918,315,471,75,45,252,12,21,12,0,12,1215
"Total","Total","Total","55710","Woodridge-Horokiwi","Woodridge-Horokiwi",87,21,12,3,3,0,3,3,0,0,129,315,33,21,6,3,3,0,3,0,0,381
"55720","Tawa","Tawa","Total","Total","Total",474,2298,381,258,72,1626,45,168,0,51,5373,1356,2574,417,246,102,1416,54,144,0,72,6375
