"SA32023_V1_00_usual_residence_address","SA32023_V1_00_NAME_usual_residence_address","SA32023_V1_00_NAME_ASCII_usual_residence_address","SA32023_V1_00_workplace_address","SA32023_V1_00_NAME_workplace_address","SA32023_V1_00_NAME_ASCII_workplace_address","2018_Work_at_home","2018_Drive_a_private_car_truck_or_van","2018_Drive_a_company_car_truck_or_van","2018_Passenger_in_a_car_truck_van_or_company_bus","2018_Public_bus","2018_Train","2018_Bicycle","2018_Walk_or_jog","2018_Ferry","2018_Other","2018_Total_stated","2023_Work_at_home","2023_Drive_a_private_car_truck_or_van","2023_Drive_a_company_car_truck_or_van","2023_Passenger_in_a_car_truck_van_or_company_bus","2023_Public_bus","2023_Train","2023_Bicycle","2023_Walk_or_jog","2023_Ferry","2023_Other","2023_Total_stated"
"50320","Waipū","Waipu","Total","Total","Total",285,462,99,18,6,0,15,45,0,6,939,447,681,147,24,3,0,9,51,0,6,1374
"Total","Total","Total","50320","Waipū","Waipu",285,360,60,27,3,0,12,42,0,6,798,447,483,99,30,0,0,6,48,0,9,1128
"50330","Kaipara District North","Kaipara District North","Total","Total","Total",1173,1698,351,198,0,0,15,153,3,78,3666,1191,2259,459,144,3,0,24,141,0,87,4302
"Total","Total","Total","50330","Kaipara District North","Kaipara District North",1173,1728,387,192,3,3,9,156,0,75,3729,1191,2193,471,138,6,3,21,138,0,84,4248
"50340","Kaipara District South","Kaipara District South","Total","Total","Total",903,1122,270,87,6,0,6,81,0,48,2529,1170,1578,429,108,6,0,6,72,0,45,3417
"Total","Total","Total","50340","Kaipara District South","Kaipara District South",903,966,231,87,18,3,9,78,0,51,2343,1170,1269,330,90,3,0,9,69,0,42,2979
"50350","Mangawhai","Mangawhai","Total","Total","Total",561,771,177,27,3,0,3,30,0,6,1575,1038,1278,297,57,6,3,18,57,3,15,2772
"Total","Total","Total","50350","Mangawhai","Mangawhai",561,561,108,30,0,0,3,27,0,3,1290,1038,936,234,66,6,0,18,51,0,9,2364
"50380","Barrier Islands","Barrier Islands","Total","Total","Total",120,126,27,6,3,0,3,30,0,12,330,177,231,39,9,0,0,6,48,0,6,516
"Total","Total","Total","50380","Barrier Islands","Barrier Islands",120,114,27,3,3,0,3,24,0,9,303,177,210,39,12,0,0,6,39,3,6,492
"50390","Rodney North","Rodney North","Total","Total","Total",1095,1872,483,132,18,0,12,117,0,33,3765,1506,1953,486,159,39,0,9,117,0,39,4308
"Total","Total","Total","50390","Rodney North","Rodney North",1095,1464,345,114,9,0,12,114,0,24,3177,1506,1932,471,162,12,0,12,105,0,36,4242
"50400","Inlets Auckland","Inlets Auckland","Total","Total","Total",12,9,0,0,0,0,0,12,0,0,36,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
"Total","Total","Total","50400","Inlets Auckland","Inlets Auckland",12,6,-999,-999,-999,-999,-999,-999,-999,-999,21,3,15,6,0,3,0,0,3,0,3,33
"50410","Rodney East","Rodney East","Total","Total","Total",975,2163,567,126,90,0,12,33,0,51,4017,1470,2205,666,138,90,0,6,18,3,36,4632
"Total","Total","Total","50410","Rodney East","Rodney East",975,618,249,75,9,3,9,21,0,27,1983,1470,684,312,72,9,3,9,18,0,27,2598
"50420","Warkworth","Warkworth","Total","Total","Total",318,1311,327,114,9,0,21,144,0,15,2259,648,1446,465,99,24,0,15,150,0,15,2865
"Total","Total","Total","50420","Warkworth","Warkworth",318,2109,435,144,30,3,18,150,3,15,3222,648,2442,588,147,39,0,15,153,3,24,4059
"50430","Mahurangi Peninsula","Mahurangi Peninsula","Total","Total","Total",465,1239,276,78,24,3,6,60,0,24,2175,639,1230,327,102,24,0,9,51,0,12,2394
"Total","Total","Total","50430","Mahurangi Peninsula","Mahurangi Peninsula",465,471,78,39,6,0,6,48,3,9,1128,639,501,117,57,3,3,9,42,6,6,1374
"50440","Hibiscus and Bays Rural","Hibiscus and Bays Rural","Total","Total","Total",327,954,264,33,96,3,3,9,3,18,1707,525,885,273,48,66,3,3,12,9,12,1839
"Total","Total","Total","50440","Hibiscus and Bays Rural","Hibiscus and Bays Rural",327,180,90,15,9,0,0,6,3,6,642,525,213,120,15,3,0,0,12,6,6,903
"50460","Rodney West","Rodney West","Total","Total","Total",834,2370,558,90,45,9,9,72,0,42,4023,1266,2286,570,108,33,6,6,66,3,33,4377
"Total","Total","Total","50460","Rodney West","Rodney West",834,711,144,66,12,0,6,60,0,21,1857,1266,903,189,99,15,3,6,51,0,15,2547
"50470","Kaukapakapa-Waitoki","Kaukapakapa-Waitoki","Total","Total","Total",375,1146,372,39,75,0,0,15,0,12,2034,636,1179,363,60,69,0,0,15,0,15,2340
"Total","Total","Total","50470","Kaukapakapa-Waitoki","Kaukapakapa-Waitoki",375,291,108,24,3,0,0,9,3,3,819,636,360,114,27,6,3,0,15,0,3,1161
"50480","Orewa","Orewa","Total","Total","Total",528,2103,510,108,264,0,21,156,3,27,3717,1428,2736,672,147,288,0,24,159,0,45,5499
"Total","Total","Total","50480","Orewa","Orewa",528,1914,240,102,78,3,27,162,0,15,3066,1428,2334,273,159,90,3,24,156,0,21,4491
"50490","Hatfields Beach","Hatfields Beach","Total","Total","Total",99,459,126,27,48,0,0,6,0,9,774,213,393,111,15,33,0,0,3,0,6,771
"Total","Total","Total","50490","Hatfields Beach","Hatfields Beach",99,27,12,3,3,0,0,3,0,0,144,213,48,27,3,3,0,0,0,0,0,291
"50500","Helensville","Helensville","Total","Total","Total",429,1608,465,90,51,3,3,84,3,27,2766,774,1767,537,93,36,0,9,75,0,21,3315
"Total","Total","Total","50500","Helensville","Helensville",429,831,156,36,9,0,3,75,0,9,1551,774,1002,198,57,6,0,3,69,0,12,2121
"50510","Coatesville-Riverhead","Coatesville-Riverhead","Total","Total","Total",435,1317,369,54,75,6,3,21,6,21,2304,849,1464,414,51,72,0,6,30,6,27,2919
"Total","Total","Total","50510","Coatesville-Riverhead","Coatesville-Riverhead",435,426,90,21,21,3,3,21,3,0,1023,849,447,111,24,12,0,0,27,0,3,1470
"50520","Silverdale (Auckland)","Silverdale (Auckland)","Total","Total","Total",432,1635,435,63,294,0,6,39,0,18,2925,1644,2616,636,132,441,0,18,102,0,36,5625
"Total","Total","Total","50520","Silverdale (Auckland)","Silverdale (Auckland)",432,3255,1023,207,132,12,21,63,3,27,5178,1644,5013,1305,321,189,6,27,126,0,51,8682
"50530","Dairy Flat","Dairy Flat","Total","Total","Total",471,1218,321,72,129,0,0,18,0,18,2244,747,1260,321,45,114,0,0,15,0,15,2523
"Total","Total","Total","50530","Dairy Flat","Dairy Flat",471,540,198,30,24,3,3,27,0,3,1299,747,735,246,33,15,0,6,21,0,9,1812
"50540","Red Beach","Red Beach","Total","Total","Total",486,2097,540,117,246,0,21,84,3,30,3621,1059,2310,558,123,294,0,21,96,0,30,4491
"Total","Total","Total","50540","Red Beach","Red Beach",486,777,129,36,33,3,3,48,3,9,1524,1059,921,135,51,36,0,12,72,0,3,2286
"50550","Gulf Harbour","Gulf Harbour","Total","Total","Total",360,1290,354,60,144,0,0,30,201,30,2472,888,1278,342,54,138,0,6,27,105,15,2853
"Total","Total","Total","50550","Gulf Harbour","Gulf Harbour",360,543,51,87,63,15,6,36,0,9,1170,888,348,69,12,9,0,3,24,0,3,1359
"50560","Tindalls-Matakatia","Tindalls-Matakatia","Total","Total","Total",165,462,129,21,36,0,0,3,30,6,849,327,405,102,21,21,0,0,9,21,6,912
"Total","Total","Total","50560","Tindalls-Matakatia","Tindalls-Matakatia",165,45,21,6,0,0,0,3,0,3,237,327,93,27,0,0,3,0,3,3,3,453
"50570","Stanmore Bay","Stanmore Bay","Total","Total","Total",516,2790,717,129,306,0,3,99,6,48,4614,1212,2778,678,138,303,6,6,96,3,33,5250
"Total","Total","Total","50570","Stanmore Bay","Stanmore Bay",516,1401,228,93,63,3,3,111,0,12,2436,1212,1599,267,129,90,3,15,108,6,12,3435
"50580","Manly","Manly","Total","Total","Total",387,1428,405,42,150,0,3,54,36,18,2529,702,1377,375,60,135,0,6,51,15,21,2745
"Total","Total","Total","50580","Manly","Manly",387,396,102,21,18,3,3,27,0,3,960,702,396,75,36,18,0,3,42,0,3,1275
"50590","Wade Heads-Arkles Bay","Wade Heads-Arkles Bay","Total","Total","Total",147,561,144,33,63,0,0,12,3,9,969,288,534,147,33,51,0,3,15,0,3,1077
"Total","Total","Total","50590","Wade Heads-Arkles Bay","Wade Heads-Arkles Bay",147,96,9,0,6,0,0,6,0,0,264,288,78,15,3,9,0,0,6,0,0,396
"50600","Army Bay","Army Bay","Total","Total","Total",117,378,93,18,30,0,0,3,45,9,693,204,315,87,18,24,0,3,6,24,6,690
"Total","Total","Total","50600","Army Bay","Army Bay",117,27,30,3,3,0,0,0,0,0,180,204,33,12,3,3,0,0,3,0,0,261
"50610","Kumeū","Kumeu","Total","Total","Total",567,2061,573,84,42,12,9,42,15,39,3447,1383,3003,738,120,69,15,9,66,12,30,5445
"Total","Total","Total","50610","Kumeū","Kumeu",567,2148,648,147,45,9,6,42,3,27,3645,1383,2679,732,144,36,9,6,72,0,24,5082
"50620","Albany","Albany","Total","Total","Total",498,2607,456,144,462,6,24,150,0,36,4380,1299,2994,561,168,525,3,27,165,3,48,5790
"Total","Total","Total","50620","Albany","Albany",498,6654,546,423,624,27,39,210,15,75,9114,1299,7152,747,522,690,18,42,213,6,105,10794
"50630","Pāremoremo","Paremoremo","Total","Total","Total",324,933,243,48,96,0,3,12,0,21,1680,501,831,237,42,81,0,3,12,0,12,1722
"Total","Total","Total","50630","Pāremoremo","Paremoremo",324,858,108,42,24,3,6,24,0,9,1395,501,531,102,15,6,3,0,18,0,6,1176
"50640","Schnapper Rock","Schnapper Rock","Total","Total","Total",210,1116,231,54,144,0,9,18,3,15,1806,465,1092,234,51,147,0,3,21,0,21,2037
"Total","Total","Total","50640","Schnapper Rock","Schnapper Rock",210,174,48,12,18,3,0,9,0,0,474,465,225,33,12,12,0,3,3,3,3,753
"50650","Greenhithe","Greenhithe","Total","Total","Total",564,2520,567,114,312,3,18,24,6,51,4176,1251,2487,549,120,270,3,12,36,6,39,4764
"Total","Total","Total","50650","Greenhithe","Greenhithe",564,483,96,30,24,3,6,21,3,6,1224,1251,519,99,24,24,3,0,24,3,6,1953
"50660","Long Bay","Long Bay","Total","Total","Total",108,351,78,24,69,0,0,3,3,9,645,516,699,141,33,135,0,0,18,0,9,1551
"Total","Total","Total","50660","Long Bay","Long Bay",108,189,18,0,3,0,3,6,0,0,333,516,345,45,36,6,0,3,24,0,6,984
"50670","Torbay-Waiake","Torbay-Waiake","Total","Total","Total",969,4653,918,225,834,3,30,93,0,111,7836,2067,4251,840,222,717,3,27,84,0,105,8322
"Total","Total","Total","50670","Torbay-Waiake","Torbay-Waiake",969,654,141,33,33,6,6,72,0,9,1923,2067,729,138,45,39,0,0,57,0,9,3090
"50680","Fairview Heights","Fairview Heights","Total","Total","Total",168,966,144,57,201,0,3,15,0,12,1563,408,966,162,42,195,0,6,9,0,15,1797
"Total","Total","Total","50680","Fairview Heights","Fairview Heights",168,228,39,18,18,3,0,21,0,0,498,408,204,27,21,12,3,3,9,0,3,684
"50690","Northcross","Northcross","Total","Total","Total",156,999,174,48,198,0,12,24,0,18,1629,402,924,165,45,159,0,3,18,0,9,1722
"Total","Total","Total","50690","Northcross","Northcross",156,282,33,15,12,0,3,15,0,0,513,402,300,33,12,9,0,0,12,3,3,771
"50700","Oteha","Oteha","Total","Total","Total",198,1431,204,72,348,3,6,63,0,12,2337,561,1413,222,75,291,3,6,51,0,21,2640
"Total","Total","Total","50700","Oteha","Oteha",198,360,51,21,18,3,0,18,0,3,669,561,375,66,18,9,0,0,15,0,6,1053
"50710","Browns Bay","Browns Bay","Total","Total","Total",498,2898,492,144,537,6,15,114,0,45,4749,1212,2772,453,132,408,6,21,87,3,30,5124
"Total","Total","Total","50710","Browns Bay","Browns Bay",498,1380,216,69,108,6,3,93,3,15,2391,1212,1416,213,135,147,3,9,96,0,18,3252
"50720","Rothesay Bay","Rothesay Bay","Total","Total","Total",216,813,159,30,156,3,6,18,0,15,1419,429,705,138,36,117,0,9,21,0,12,1473
"Total","Total","Total","50720","Rothesay Bay","Rothesay Bay",216,180,45,15,12,0,3,6,0,3,480,429,171,30,18,6,0,0,15,0,0,669
"50730","Pinehill","Pinehill","Total","Total","Total",210,1116,180,66,237,3,3,54,0,18,1884,474,1227,210,51,204,0,6,60,0,12,2244
"Total","Total","Total","50730","Pinehill","Pinehill",210,369,66,15,21,3,3,24,0,6,720,474,414,81,36,24,0,0,18,0,3,1050
"50740","Murrays Bay","Murrays Bay","Total","Total","Total",348,1308,264,54,234,3,9,33,0,21,2277,660,1206,222,48,201,0,9,33,0,12,2388
"Total","Total","Total","50740","Murrays Bay","Murrays Bay",348,264,33,9,15,3,0,21,0,3,702,660,312,42,15,15,0,6,21,0,3,1074
"50750","North Harbour/Rosedale","North Harbour/Rosedale","Total","Total","Total",78,207,45,6,27,3,3,27,0,3,402,99,156,30,3,24,0,3,24,0,3,336
"Total","Total","Total","50750","North Harbour/Rosedale","North Harbour/Rosedale",78,16410,4560,636,759,78,132,279,15,219,23163,99,14673,4251,567,597,30,105,228,15,210,20775
"50760","Windsor Park","Windsor Park","Total","Total","Total",96,363,60,18,93,0,3,12,0,6,651,168,372,42,12,78,0,3,12,0,6,693
