sa2_code,sa2_name,dhb,pop_cnt,dose1_cnt,dose2_cnt,dose1_uptake,dose2_uptake
202300,Thornton-Awakeri,Bay of Plenty,618,467,379, 756 , 613 
202400,Te Teko Lakes,Bay of Plenty,1115,799,592, 717 , 531 
202500,Coastlands,Bay of Plenty,626,476,392, 760 , 626 
202600,Whakatane West,Bay of Plenty,1293,912,699, 705 , 541 
202700,Whakatane Central,Bay of Plenty,1087,806,652, 741 , 600 
202800,Trident,Bay of Plenty,1162,738,537, 635 , 462 
202900,Allandale,Bay of Plenty,761,542,434, 712 , 570 
203000,Mokorua Bush,Bay of Plenty,142,124,101, 873 , 711 
203100,Wainui ,Bay of Plenty,711,461,363, 648 , 511 
203200,Ohope,Bay of Plenty,336,281,248, 836 , 738 
203400,Galatea,Bay of Plenty,505,324,248, 642 , 491 
203500,Waingarara-Waimana,Bay of Plenty,1443,952,708, 660 , 491 
203600,Murupara,Bay of Plenty,1212,644,478, 531 , 394 
203700,Monika Reserve,Bay of Plenty,1420,1087,822, 765 , 579 
203900,Tarawera Park,Bay of Plenty,1970,1358,1005, 689 , 510 
204100,Waiotahi,Bay of Plenty,459,352,290, 767 , 632 
204200,Cape Runaway,Bay of Plenty,832,764,666, 918 , 800 
204300,Woodlands,Bay of Plenty,319,257,222, 806 , 696 
204400,Opotiki,Bay of Plenty,2092,1365,1036, 652 , 495 
204500,Otara-Tirohanga ,Bay of Plenty,491,328,270, 668 , 550 
204600,Oponae,Bay of Plenty,128,91,75, 711 , 586 
204700,East Cape,Tairawhiti,968,770,663, 795 , 685 
204800,Waipaoa,Tairawhiti,815,599,464, 735 , 569 
204900,Ruatoria-Raukumara,Tairawhiti,913,704,575, 771 , 630 
205000,Tokomaru,Tairawhiti,654,539,469, 824 , 717 
205100,Hangaroa,Tairawhiti,419,327,265, 780 , 632 
205200,Wharekaka,Tairawhiti,898,756,619, 842 , 689 
205300,Te Arai,Tairawhiti,528,430,362, 814 , 686 
205400,Hexton,Tairawhiti,487,404,325, 830 , 667 
205500,Lytton,Tairawhiti,218,175,145, 803 , 665 
205600,Makaraka-Awapuni,Tairawhiti,334,253,200, 757 , 599 
205700,Riverdale,Tairawhiti,395,331,286, 838 , 724 
205800,Te Hapara North,Tairawhiti,635,511,426, 805 , 671 
205900,Mangapapa North,Tairawhiti,515,412,336, 800 , 652 
206000,Elgin,Tairawhiti,1407,1042,757, 741 , 538 
206100,Te Hapara South,Tairawhiti,947,715,529, 755 , 559 
206200,Mangapapa East,Tairawhiti,341,269,222, 789 , 651 
206300,Mangapapa South,Tairawhiti,737,567,460, 769 , 624 
206400,Te Hapara East,Tairawhiti,704,583,482, 828 , 685 
206500,Centennial Crescent,Tairawhiti,715,566,437, 792 , 611 
206600,Whataupoko East,Tairawhiti,287,262,214, 913 , 746 
206700,Whataupoko West,Tairawhiti,426,368,302, 864 , 709 
206800,Gisborne Central,Tairawhiti,107,71,56, 664 , 523 
206900,Kaiti North,Tairawhiti,708,603,520, 852 , 734 
207000,Kaiti South,Tairawhiti,1643,1243,965, 757 , 587 
207100,Outer Kaiti,Tairawhiti,1608,1142,827, 710 , 514 
207200,Tamarau,Tairawhiti,1465,1145,918, 782 , 627 
207300,Wainui-Okitu,Tairawhiti,229,194,169, 847 , 738 
207400,Maungataniwha-Raupunga,Hawke's Bay,461,314,256, 681 , 555 
207600,Frasertown-Ruakituri,Hawke's Bay,238,192,160, 807 , 672 
207700,Whakaki,Hawke's Bay,388,340,295, 876 , 760 
207800,Wairoa,Hawke's Bay,2449,1825,1543, 745 , 630 
207900,Mahia,Hawke's Bay,506,414,352, 818 , 696 
208000,Puketitiri-Tutira,Hawke's Bay,296,229,175, 774 , 591 
208100,Sherenden-Crownthorpe,Hawke's Bay,82,73,62, 890 , 756 
208200,Maraekakaho,Hawke's Bay,112,96,84, 857 , 750 
208300,Puketapu-Eskdale,Hawke's Bay,269,226,193, 840 , 717 
208400,Omahu-Pakowhai,Hawke's Bay,471,347,260, 737 , 552 
208500,Bridge Pa,Hawke's Bay,501,392,304, 782 , 607 
208600,Twyford,Hawke's Bay,112,103,77, 920 , 688 
208700,Poukawa,Hawke's Bay,248,205,166, 827 , 669 
