SA2_code_usual_residence_address,SA22023_V1_00_NAME_usual_residence_address,SA2_usual_residence_easting,SA2_usual_residence_northing,SA2_code_educational_address,SA22023_V1_00_NAME_educational_institution_address,SA2_educational_easting,SA2_educational_northing,Study_at_home,Drive_a_car_truck_or_van,Passenger_in_a_car_truck_or_van,Train,Bicycle,Walk_or_jog,School_bus,Public_bus,Ferry,Other,2018_Total_stated,2023_Total_stated
174300,Waihou-Manawaru,1844399.97,5835212.481,174400,Waitoa-Ngarua,1838656.536,5830291.221,-999,-999,21,-999,-999,-999,18,-999,-999,-999,45,45
148800,Half Moon Bay North East,1769755.173,5916029.153,146400,Bucklands Beach North,1769709.183,5918890.277,-999,-999,12,-999,-999,-999,-999,-999,-999,-999,12,12
224300,Titoki,1771737.523,5577420.82,231900,Turitea,1821410.155,5525628.238,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,6
150500,Pakuranga Heights North West,1768244.553,5913268.165,152000,Howick Central,1771396.597,5914579.173,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,6,6
312100,Hanmer Range,1558742.615,5290901.932,312200,Amuri,1596614.97,5278657.413,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,12,12
313700,Ashley-Sefton,1571876.747,5211864.484,315000,Southbrook,1567380.291,5202772.71,-999,-999,15,-999,-999,-999,6,-999,-999,-999,24,24
179900,Greensboro,1803428.609,5815436.255,179700,Hamilton East Village,1801926.499,5814976.268,-999,-999,15,-999,-999,27,-999,-999,-999,-999,42,42
325200,Riccarton East,1568544.367,5179980.919,321200,Ilam University,1565918.217,5180977.776,-999,30,12,-999,24,-999,-999,-999,-999,-999,75,75
339500,Levels,1460810.123,5093955.192,341300,Parkside,1460359.706,5081681.946,-999,-999,-999,-999,-999,-999,24,-999,-999,-999,27,27
331700,South New Brighton,1578924.824,5180149.879,330500,Ensors,1573206.458,5178279.09,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,6,6
109300,Dargaville,1678042.808,6022449.07,109400,Ruawai-Matakohe,1703222.551,6006040.864,-999,-999,12,-999,-999,-999,-999,-999,-999,-999,18,18
350600,Glenleith,1405844.404,4920331.91,352000,North East Valley Knox,1407643.749,4919367.994,-999,-999,12,-999,-999,-999,-999,-999,-999,-999,18,18
330500,Ensors,1573206.458,5178279.09,328900,Phillipstown,1572832.37,5179510.141,-999,-999,-999,-999,-999,12,-999,-999,-999,-999,18,18
239100,Titahi Bay North,1754845.865,5448652.484,240700,Cannons Creek North,1756322.588,5444063.596,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,6,6
138100,Balmoral,1755496.28,5916215.797,140400,Mount Roskill Central North,1755278.028,5913825.559,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,6
242900,Clouston Park,1775224.025,5446111.407,241700,Brentwood (Upper Hutt City),1770967.964,5444933.371,-999,-999,15,-999,-999,-999,6,9,-999,-999,33,33
134400,Kingsland,1755609.252,5918092.572,140200,Epsom Central-North,1757719.253,5916112.813,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,9
305500,Maitai,1624978.468,5430486.576,303800,Marybank,1627001.364,5435782.931,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,6
238400,Paraparaumu East,1769412.136,5468247.547,238500,Raumati South,1766950.61,5465869.072,-999,-999,18,-999,-999,-999,-999,-999,-999,-999,18,18
363000,Clifton,1244056.128,4845430.686,361700,Glengarry,1245501.767,4850969.703,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,9,9
172000,Ngaruawahia North,1789944.935,5829495.495,176000,Pukete East,1797756.138,5820481.746,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,6,6
116400,Taupaki,1738618.178,5923785.658,117400,Albany West,1750694.096,5932478.837,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,9
114600,Stanmore Bay West,1754445.43,5945558.936,134800,Auckland-University,1757717.235,5920148.171,-999,-999,-999,-999,-999,-999,-999,27,-999,-999,30,30
161300,Randwick Park West,1770212.998,5900503.908,157600,Wiri West,1765702.429,5902587.403,-999,-999,-999,-999,-999,-999,-999,6,-999,-999,9,9
162000,Takanini West,1770852.286,5898888.49,161800,Conifer Grove West,1770105.144,5898014.625,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,9,9
171700,Whitikahu,1804636.625,5839259.25,175600,Rototuna North,1799639.351,5823126.726,-999,-999,6,-999,-999,-999,6,-999,-999,-999,12,12
120600,Massey Central,1743203.243,5921773.202,117000,Whenuapai,1744666.754,5927016.512,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,9,9
244600,Taita South,1764313.422,5438864.08,245100,Epuni West,1761589.636,5436613.056,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,9,9
193100,Bellevue,1875965.644,5825148.163,193300,Otumoetai South,1877309.661,5825377.026,-999,-999,36,-999,-999,27,-999,-999,-999,-999,63,63
140700,Mount Roskill Central South,1754844.901,5913052.651,139600,Lynfield North,1752995.344,5912676.834,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,9
305600,Grampians,1622899.618,5428280.539,304700,Nelson Central-Trafalgar,1623627.722,5430927.274,-999,30,6,-999,9,9,-999,-999,-999,-999,60,60
152900,Botany Downs East,1771202.287,5913382.561,152200,Botany Downs West,1770523.601,5913450.631,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,12,12
150100,Otahuhu Central,1763496.513,5910014.13,134800,Auckland-University,1757717.235,5920148.171,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,15,15
134700,Kaurilands,1747471.555,5911670.469,135400,West Lynn,1748404.532,5912127.699,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,6,6
118100,Albany South,1752629.072,5932737.941,134800,Auckland-University,1757717.235,5920148.171,-999,15,-999,-999,-999,-999,-999,75,-999,-999,96,96
200400,Waiohewa,1896457.963,5776680.65,201000,Holdens Bay-Rotokawa,1891514.131,5776218.854,-999,-999,15,-999,-999,-999,-999,-999,-999,-999,21,21
186800,Moananui,1850567.577,5763784.5,186200,Paraonui,1849658.554,5766841.979,-999,-999,57,-999,-999,12,-999,-999,-999,-999,75,75
112100,Wainui-Waiwera,1739863.678,5950009.905,113300,Millwater South,1749347.936,5946835.632,-999,-999,12,-999,-999,-999,-999,-999,-999,-999,12,12
119200,Hobsonville,1745229.936,5924982.919,119700,Windsor Park,1754965.828,5932592.819,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,9
207000,Kaiti South,2038440.717,5706752.44,206500,Centennial Crescent,2035949.041,5708715.817,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,12,12
337200,Chertsey,1516893.966,5147037.718,336700,Cairnbrae,1501118.17,5164652.3,-999,-999,-999,-999,-999,-999,12,-999,-999,-999,15,15
308200,Redwoodtown West,1679135.141,5401975.78,307900,Blenheim Central,1680318.444,5403598.429,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,12,12
153800,Somerville,1772281,5913105.057,155400,Botany South,1770458.981,5910229.47,-999,6,15,-999,-999,-999,-999,-999,-999,-999,24,24
197000,Palm Beach North,1887693.998,5823252.089,193600,Brookfield East,1877011.949,5824232.982,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,15,15
160300,Hillpark South,1769062.888,5901534.42,160000,Rowandale East,1767306.113,5900667.754,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,9,9
164800,Waiuku East,1753853.911,5875099.069,149900,Awhitu,1744943.723,5887251.987,-999,-999,12,-999,-999,-999,-999,-999,-999,-999,15,15
124000,Glenfield Central,1754000.068,5927610.45,126600,Takapuna West,1757140.757,5927075.413,-999,-999,27,-999,-999,-999,36,18,-999,-999,90,90
120000,Murrays Bay East,1756406.459,5933534.544,134800,Auckland-University,1757717.235,5920148.171,-999,12,-999,-999,-999,-999,-999,42,-999,-999,57,57
157500,Chapel Downs,1769315.943,5906557.227,155400,Botany South,1770458.981,5910229.47,-999,-999,-999,-999,-999,-999,-999,6,-999,-999,12,12
162400,Glenbrook,1755770.044,5881294.138,154400,Otara Central,1767093.171,5908370.32,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,6
335300,Rolleston South West,1549534.703,5170706.848,318100,Templeton,1557159.631,5177680.021,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,9,9
256400,Cameron and Soldiers Park,1823981.212,5462591.947,256200,Solway South,1821640.939,5461330.884,-999,-999,18,-999,6,-999,-999,-999,-999,-999,24,24
132800,Grey Lynn Central,1755658.768,5919002.017,134100,Queen Street South West,1757023.266,5919838.873,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,6
